"id";"nombre";"apaterno";"amaterno";"edad";"sexo";"email";"email_verified_at";"cargo";"jornada";"escolaridad";"departamento_id";"password";"remember_token";"created_at";"updated_at"
1;"Hertha";"Stamm";"Davis";29;"Masculino";"nyasia95@example.org";"2019-08-08 08:52:12";"PR Manager";"Nocturna";"Preparatoria";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"ApjIwggk7g";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
2;"Nayeli";"Dickinson";"Donnelly";20;"Masculino";"berneice73@example.org";"2019-08-08 08:52:12";"Biomedical Engineer";"Nocturna";"Tecnica";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"Wg74iXvrfG";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
3;"Jason";"Sporer";"O'Conner";27;"Masculino";"myrtle71@example.org";"2019-08-08 08:52:12";"Technical Specialist";"Mixta";"Universidad";3;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"e46HTLCfHY";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
4;"Kevin";"Mitchell";"Kuphal";34;"Masculino";"bogan.armando@example.com";"2019-08-08 08:52:12";"Farm Labor Contractor";"Mixta";"Preparatoria";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"zgPWv7GvJE";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
5;"Teresa";"Green";"Flatley";29;"Masculino";"davion.feil@example.com";"2019-08-08 08:52:12";"Janitorial Supervisor";"Nocturna";"Primaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"0x05fQTEuV";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
6;"Trent";"Deckow";"Schumm";35;"Femenino";"evans.kub@example.net";"2019-08-08 08:52:12";"Postmasters";"Mixta";"Secundaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"PFV3tNj2Cu";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
7;"Marcos";"Bogisich";"Price";26;"Femenino";"boehm.jodie@example.org";"2019-08-08 08:52:12";"Storage Manager OR Distribution Manager";"Nocturna";"Universidad";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"Aid9DqGXsp";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
8;"Elinore";"Murphy";"Von";35;"Femenino";"elisabeth.baumbach@example.org";"2019-08-08 08:52:12";"Welding Machine Setter";"Diurna";"Tecnica";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"CNKQUNGfxH";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
9;"Zita";"Crist";"Huel";33;"Femenino";"reta.schamberger@example.com";"2019-08-08 08:52:12";"Animal Care Workers";"Nocturna";"Secundaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"DmtZmKYrio";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
10;"Heidi";"Strosin";"Douglas";22;"Femenino";"ignatius.rutherford@example.org";"2019-08-08 08:52:12";"Technical Writer";"Nocturna";"Preparatoria";3;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"832hjiMlAZ";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
11;"Heaven";"Sawayn";"Wuckert";27;"Femenino";"mara40@example.com";"2019-08-08 08:52:12";"Municipal Fire Fighter";"Mixta";"Preparatoria";3;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"Ijs7mKR5Mz";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
12;"Abby";"Hermiston";"Leffler";35;"Masculino";"lbayer@example.net";"2019-08-08 08:52:12";"Natural Sciences Manager";"Diurna";"Preparatoria";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"dPrCFZbU5I";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
13;"Tyree";"Schimmel";"Hackett";21;"Masculino";"raynor.hortense@example.org";"2019-08-08 08:52:12";"Set Designer";"Nocturna";"Tecnica";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"l4roukqQGZ";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
14;"Karli";"Kuphal";"Hickle";23;"Femenino";"reichert.georgette@example.org";"2019-08-08 08:52:12";"Municipal Clerk";"Diurna";"Secundaria";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"d7XDXxQf9P";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
15;"Alberta";"Kreiger";"Dickinson";29;"Femenino";"schiller.alfonzo@example.com";"2019-08-08 08:52:12";"Telecommunications Equipment Installer";"Mixta";"Tecnica";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"ythLV3zJKo";"2019-08-08 08:52:12";"2019-08-08 08:52:12"
